match_no,date_et,time_et,stage,group,home_team,away_team,home_label,away_label,known_teams,venue_city,neutral,competition,source_url
1,2026-06-11,15:00,Group Stage,A,Mexico,South Africa,Mexico,South Africa,True,Mexico City,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
2,2026-06-11,22:00,Group Stage,A,South Korea,Czech Republic,South Korea,Czech Republic,True,"Zapopan, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
3,2026-06-12,15:00,Group Stage,B,Canada,Bosnia and Herzegovina,Canada,Bosnia and Herzegovina,True,Toronto,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
4,2026-06-12,21:00,Group Stage,D,United States,Paraguay,United States,Paraguay,True,"Inglewood, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
5,2026-06-13,15:00,Group Stage,B,Qatar,Switzerland,Qatar,Switzerland,True,"Santa Clara, California",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
6,2026-06-13,18:00,Group Stage,C,Brazil,Morocco,Brazil,Morocco,True,"East Rutherford, New Jersey",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
7,2026-06-13,21:00,Group Stage,C,Haiti,Scotland,Haiti,Scotland,True,"Foxborough, Massachusetts",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
8,2026-06-14,00:00,Group Stage,D,Australia,Turkey,Australia,Turkey,True,"Vancouver, Canada",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
9,2026-06-14,13:00,Group Stage,E,Germany,Curacao,Germany,Curacao,True,Houston,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
10,2026-06-14,16:00,Group Stage,F,Netherlands,Japan,Netherlands,Japan,True,"Arlington, Texas",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
11,2026-06-14,19:00,Group Stage,E,Ivory Coast,Ecuador,Ivory Coast,Ecuador,True,Philadelphia,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
12,2026-06-14,22:00,Group Stage,F,Sweden,Tunisia,Sweden,Tunisia,True,"Guadalupe, Mexico",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
13,2026-06-15,12:00,Group Stage,H,Spain,Cape Verde,Spain,Cape Verde,True,Atlanta,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
14,2026-06-15,15:00,Group Stage,G,Belgium,Egypt,Belgium,Egypt,True,Seattle,True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
15,2026-06-15,18:00,Group Stage,H,Saudi Arabia,Uruguay,Saudi Arabia,Uruguay,True,"Miami Gardens, Florida",True,FIFA World Cup 2026,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket
