date,home_team,away_team,neutral,match_id,stage,group,venue_city,competition,home_gf12,home_ga12,home_pts12,home_prev_matches,away_gf12,away_ga12,away_pts12,away_prev_matches,fifa_home,fifa_away,diff_fifa,elo_home,elo_away,diff_elo,h2h,home_advantage,matchday_group,home_points_group,home_goal_diff_group,home_goals_for_group,home_goals_against_group,home_matches_played_group,home_position_group,home_possible_best_position,home_possible_worst_position,home_qualify_rate,home_first_place_rate,home_qualify_rate_if_win,home_qualify_rate_if_draw,home_qualify_rate_if_loss,home_first_rate_if_win,home_first_rate_if_draw,home_first_rate_if_loss,home_already_qualified,home_eliminated,home_must_win,home_need_goal_difference,home_rotation_risk,home_playing_for_first,home_risk_drop_to_third,home_needs_result,home_context_note,away_points_group,away_goal_diff_group,away_goals_for_group,away_goals_against_group,away_matches_played_group,away_position_group,away_possible_best_position,away_possible_worst_position,away_qualify_rate,away_first_place_rate,away_qualify_rate_if_win,away_qualify_rate_if_draw,away_qualify_rate_if_loss,away_first_rate_if_win,away_first_rate_if_draw,away_first_rate_if_loss,away_already_qualified,away_eliminated,away_must_win,away_need_goal_difference,away_rotation_risk,away_playing_for_first,away_risk_drop_to_third,away_needs_result,away_context_note
2026-06-11,Mexico,South Africa,1,1,Group Stage,A,Mexico City,FIFA World Cup 2026,1.5743131819866076,0.5010176768468179,2.4981996173717014,12,1.4886673720692911,1.102729775439071,1.5356246088442995,12,1700.98,1393.21,307.77,1881,1511,370,-0.0495626822157434,0,1,0,0,0,0,0,2,1,4,0.6667,0.2222,1.0,1.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,3,1,4,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-11,South Korea,Czech Republic,1,2,Group Stage,A,"Zapopan, Mexico",FIFA World Cup 2026,2.166690239448409,0.5981799103704499,2.251625999030736,12,1.9017918586444849,1.4154612097981834,1.4379602009539303,12,1612.55,1506.49,106.05999999999996,1786,1712,74,0.0,0,1,0,0,0,0,0,4,1,4,0.3333,0.1111,1.0,0.0,0.0,0.3333,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,1,1,4,0.6667,0.4444,1.0,1.0,0.0,1.0,0.3333,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-18,Czech Republic,South Africa,1,25,Group Stage,A,Atlanta,FIFA World Cup 2026,1.764997806149439,1.5696645760600798,1.1556275240618172,12,1.1512310819455318,1.3244846111324795,1.1658819272082288,12,1506.49,1393.21,113.27999999999996,1712,1511,201,0.0,0,2,0,-1,1,2,1,3,2,4,0.1111,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion,0,-2,0,2,1,4,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,1,Necesita ganar para mejorar clasificacion
2026-06-18,Mexico,South Korea,1,28,Group Stage,A,"Zapopan, Mexico",FIFA World Cup 2026,1.687678128131694,0.4023779529743393,2.648339608990121,12,2.037274370375465,0.6901512765607675,2.3858487815346563,12,1700.98,1612.55,88.43000000000006,1881,1786,95,0.2994004806179533,0,2,3,2,2,0,1,1,1,2,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,1,Necesita resultado y pelea el primer lugar,3,1,2,1,1,2,1,3,0.8889,0.3333,1.0,1.0,0.6667,1.0,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar
2026-06-24,Czech Republic,Mexico,1,53,Group Stage,A,Mexico City,FIFA World Cup 2026,1.6247663061763349,1.4833570866620522,1.0833892658134274,12,1.5995332715523989,0.3350563138185868,2.7609961233379945,12,1506.49,1700.98,-194.49,1712,1881,-169,1.0,0,3,1,-1,2,3,2,3,2,4,0.2222,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,Necesita ganar y cuidar diferencia de goles,6,3,3,0,2,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,Puede rotar: clasificacion muy segura
2026-06-24,South Africa,South Korea,1,54,Group Stage,A,"Guadalupe, Mexico",FIFA World Cup 2026,1.090674006898772,1.2861430300768673,1.1028121244508724,12,1.624614056091842,0.7719517176136318,1.8615167280216505,12,1393.21,1612.55,-219.33999999999992,1511,1786,-275,0.0,0,3,1,-2,1,3,2,4,2,4,0.2222,0.0,0.6667,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,Necesita ganar y cuidar diferencia de goles,3,0,2,2,2,2,2,4,0.5556,0.0,1.0,0.6667,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,1,Necesita ganar y cuidar diferencia de goles
2026-06-12,Canada,Bosnia and Herzegovina,1,3,Group Stage,B,Toronto,FIFA World Cup 2026,1.909479051787815,0.8238527751522227,1.8424619372781672,12,1.4611780528587046,1.2722054770561546,1.3779992462903143,12,1551.5,1395.19,156.30999999999997,1767,1616,151,0.0,0,1,0,0,0,0,0,2,1,4,0.4444,0.3333,1.0,0.3333,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,1,1,4,0.6667,0.4444,1.0,1.0,0.0,1.0,0.3333,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-13,Qatar,Switzerland,1,5,Group Stage,B,"Santa Clara, California",FIFA World Cup 2026,0.7936921534047885,1.5125984731650048,0.9855369543428844,12,1.8880656359910024,1.0276164953605007,1.640990107081323,12,1459.45,1640.92,-181.47000000000003,1447,1865,-418,0.0,0,1,0,0,0,0,0,3,1,4,0.5556,0.1111,1.0,0.6667,0.0,0.3333,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse,0,0,0,0,0,4,1,4,0.3333,0.1111,1.0,0.0,0.0,0.3333,0.0,0.0,0,0,0,0,0,0,1,1,Necesita resultado para no complicarse
2026-06-18,Switzerland,Bosnia and Herzegovina,1,26,Group Stage,B,"Inglewood, California",FIFA World Cup 2026,1.786710276858,0.996509403245009,1.5753766599965435,12,1.4182570504076482,1.048223980808235,1.3482561352787232,12,1640.92,1395.19,245.73,1865,1616,249,0.0,0,2,1,0,1,1,1,4,1,4,0.3333,0.1111,1.0,0.0,0.0,0.3333,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar,1,0,1,1,1,1,1,4,0.6667,0.4444,1.0,1.0,0.0,1.0,0.3333,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar
2026-06-18,Canada,Qatar,1,27,Group Stage,B,"Vancouver, Canada",FIFA World Cup 2026,1.8137109258824335,0.8149482285564791,1.756259549857517,12,0.8312192813149418,1.4193574802193738,0.9881677634628588,12,1551.5,1459.45,92.04999999999995,1767,1447,320,0.0,0,2,1,0,1,1,1,2,1,4,0.6667,0.2222,1.0,1.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar,1,0,1,1,1,3,1,4,0.3333,0.2222,1.0,0.0,0.0,0.6667,0.0,0.0,0,0,0,0,0,1,1,1,Necesita resultado y pelea el primer lugar
