group,position,team,played,wins,draws,losses,gf,ga,gd,points,yellow_cards,indirect_red_cards,direct_red_cards,fair_play_score,fifa_strength,source_real_matches,source_predicted_matches,classification_type
A,1,Mexico,3,3,0,0,6,0,6,9,6,0,0,-6,1700.98,3,0,PRIMERO_GRUPO
A,2,South Africa,3,1,1,1,2,3,-1,4,13,0,0,-13,1393.21,3,0,SEGUNDO_GRUPO
B,1,Switzerland,3,2,1,0,7,3,4,7,3,0,0,-3,1640.92,3,0,PRIMERO_GRUPO
B,2,Canada,3,1,1,1,8,3,5,4,5,0,0,-5,1551.5,3,0,SEGUNDO_GRUPO
C,1,Brazil,3,2,1,0,7,1,6,7,5,0,0,-5,1765.34,3,0,PRIMERO_GRUPO
C,2,Morocco,3,2,1,0,6,3,3,7,1,0,0,-1,1755.62,3,0,SEGUNDO_GRUPO
D,1,United States,3,2,0,1,8,4,4,6,5,0,0,-5,1688.53,3,0,PRIMERO_GRUPO
D,2,Australia,3,1,1,1,2,2,0,4,5,0,0,-5,1605.61,3,0,SEGUNDO_GRUPO
E,1,Germany,3,2,0,1,10,4,6,6,1,0,0,-1,1743.54,3,0,PRIMERO_GRUPO
E,2,Ivory Coast,3,2,0,1,4,2,2,6,4,0,0,-4,1568.62,3,0,SEGUNDO_GRUPO
F,1,Netherlands,3,2,1,0,10,4,6,7,3,0,0,-3,1749.2,3,0,PRIMERO_GRUPO
F,2,Japan,3,1,2,0,5,3,2,5,1,0,0,-1,1665.94,2,1,SEGUNDO_GRUPO
G,1,Belgium,3,1,2,0,6,2,4,5,7,0,0,-7,1733.93,3,0,PRIMERO_GRUPO
G,2,Egypt,3,1,2,0,5,3,2,5,6,0,0,-6,1570.67,3,0,SEGUNDO_GRUPO
H,1,Spain,3,2,1,0,5,0,5,7,2,0,0,-2,1856.03,3,0,PRIMERO_GRUPO
H,2,Cape Verde,3,0,3,0,2,2,0,3,4,0,0,-4,1389.79,3,0,SEGUNDO_GRUPO
I,1,France,3,3,0,0,10,2,8,9,1,0,0,-1,1887.11,3,0,PRIMERO_GRUPO
I,2,Norway,3,2,0,1,7,6,1,6,1,0,0,-1,1577.18,2,1,SEGUNDO_GRUPO
J,1,Argentina,3,3,0,0,7,0,7,9,2,0,0,-2,1889.06,2,1,PRIMERO_GRUPO
J,2,Austria,3,1,1,1,4,4,0,4,3,0,0,-3,1612.86,2,1,SEGUNDO_GRUPO
K,1,Colombia,3,2,1,0,5,2,3,7,3,0,0,-3,1712.6,2,1,PRIMERO_GRUPO
K,2,Portugal,3,1,2,0,7,2,5,5,4,0,0,-4,1755.09,2,1,SEGUNDO_GRUPO
L,1,England,3,2,1,0,6,2,4,7,1,0,0,-1,1847.68,2,1,PRIMERO_GRUPO
L,2,Croatia,3,2,0,1,5,5,0,6,1,0,0,-1,1695.21,2,1,SEGUNDO_GRUPO
