partido_16avos,slot_1,equipo_1,slot_2,equipo_2
16avos 1,2A,South Africa,2B,Canada
16avos 2,1C,Brazil,2F,Japan
16avos 3,1E,Germany,3F,Sweden
16avos 4,1F,Netherlands,2C,Morocco
16avos 5,2E,Ivory Coast,2I,Norway
16avos 6,1I,France,3D,Turkey
16avos 7,1A,Mexico,3E,Ecuador
16avos 8,1L,England,3I,Senegal
16avos 9,1G,Belgium,3A,South Korea
16avos 10,1D,United States,3B,Bosnia and Herzegovina
16avos 11,1H,Spain,2J,Austria
16avos 12,2K,Portugal,2L,Croatia
16avos 13,1B,Switzerland,3G,Iran
16avos 14,2D,Australia,2G,Egypt
16avos 15,1J,Argentina,2H,Cape Verde
16avos 16,1K,Colombia,3L,Ghana
