group,position,team,played,wins,draws,losses,gf,ga,gd,points,yellow_cards,indirect_red_cards,direct_red_cards,fair_play_score,fifa_strength,source_real_matches,source_predicted_matches
A,1,Mexico,3,3,0,0,6,0,6,9,6,0,0,-6,1700.98,3,0
A,2,South Africa,3,1,1,1,2,3,-1,4,13,0,0,-13,1393.21,3,0
A,3,South Korea,3,1,0,2,2,3,-1,3,4,0,0,-4,1612.55,3,0
A,4,Czech Republic,3,0,1,2,2,6,-4,1,1,0,0,-1,1506.49,3,0
B,1,Switzerland,3,2,1,0,7,3,4,7,3,0,0,-3,1640.92,3,0
B,2,Canada,3,1,1,1,8,3,5,4,5,0,0,-5,1551.5,3,0
B,3,Bosnia and Herzegovina,3,1,1,1,5,6,-1,4,10,0,0,-10,1395.19,3,0
B,4,Qatar,3,0,1,2,2,10,-8,1,12,0,0,-12,1459.45,3,0
C,1,Brazil,3,2,1,0,7,1,6,7,5,0,0,-5,1765.34,3,0
C,2,Morocco,3,2,1,0,6,3,3,7,1,0,0,-1,1755.62,3,0
C,3,Scotland,3,1,0,2,1,4,-3,3,5,0,0,-5,1518.77,3,0
C,4,Haiti,3,0,0,3,2,8,-6,0,7,0,0,-7,1277.67,3,0
D,1,United States,3,2,0,1,8,4,4,6,5,0,0,-5,1688.53,3,0
D,2,Australia,3,1,1,1,2,2,0,4,5,0,0,-5,1605.61,3,0
D,3,Turkey,3,1,1,1,4,5,-1,4,3,0,0,-3,1579.47,2,1
D,4,Paraguay,3,0,2,1,2,5,-3,2,12,0,0,-12,1488.05,2,1
E,1,Germany,3,2,0,1,10,4,6,6,1,0,0,-1,1743.54,3,0
E,2,Ivory Coast,3,2,0,1,4,2,2,6,4,0,0,-4,1568.62,3,0
E,3,Ecuador,3,1,1,1,2,2,0,4,5,0,0,-5,1570.76,3,0
E,4,Curacao,3,0,1,2,1,9,-8,1,7,0,0,-7,1287.0,3,0
F,1,Netherlands,3,2,1,0,10,4,6,7,3,0,0,-3,1749.2,3,0
F,2,Japan,3,1,2,0,5,3,2,5,1,0,0,-1,1665.94,2,1
F,3,Sweden,3,1,1,1,7,7,0,4,5,0,0,-5,1533.19,3,0
F,4,Tunisia,3,0,0,3,2,10,-8,0,1,0,0,-1,1453.0,2,1
G,1,Belgium,3,1,2,0,6,2,4,5,7,0,0,-7,1733.93,3,0
G,2,Egypt,3,1,2,0,5,3,2,5,6,0,0,-6,1570.67,3,0
G,3,Iran,3,0,3,0,3,3,0,3,6,0,0,-6,1605.12,3,0
G,4,New Zealand,3,0,1,2,4,10,-6,1,4,0,0,-4,1290.04,3,0
H,1,Spain,3,2,1,0,5,0,5,7,2,0,0,-2,1856.03,3,0
H,2,Cape Verde,3,0,3,0,2,2,0,3,4,0,0,-4,1389.79,3,0
H,3,Uruguay,3,0,2,1,3,4,-1,2,9,0,0,-9,1661.95,3,0
H,4,Saudi Arabia,3,0,2,1,1,5,-4,2,6,0,0,-6,1435.0,3,0
I,1,France,3,3,0,0,10,2,8,9,1,0,0,-1,1887.11,3,0
I,2,Norway,3,2,0,1,7,6,1,6,1,0,0,-1,1577.18,2,1
I,3,Senegal,3,1,0,2,7,5,2,3,2,0,0,-2,1667.66,2,1
I,4,Iraq,3,0,0,3,1,12,-11,0,8,0,0,-8,1426.53,3,0
J,1,Argentina,3,3,0,0,7,0,7,9,2,0,0,-2,1889.06,2,1
J,2,Austria,3,1,1,1,4,4,0,4,3,0,0,-3,1612.86,2,1
J,3,Algeria,3,0,2,1,2,5,-3,2,1,0,0,-1,1559.24,1,2
J,4,Jordan,3,0,1,2,2,6,-4,1,1,0,0,-1,1372.29,1,2
K,1,Colombia,3,2,1,0,5,2,3,7,3,0,0,-3,1712.6,2,1
K,2,Portugal,3,1,2,0,7,2,5,5,4,0,0,-4,1755.09,2,1
K,3,DR Congo,3,0,2,1,2,3,-1,2,2,0,0,-2,1487.18,2,1
K,4,Uzbekistan,3,0,1,2,2,9,-7,1,2,0,0,-2,1444.48,2,1
L,1,England,3,2,1,0,6,2,4,7,1,0,0,-1,1847.68,2,1
L,2,Croatia,3,2,0,1,5,5,0,6,1,0,0,-1,1695.21,2,1
L,3,Ghana,3,1,1,1,2,2,0,4,2,0,0,-2,1380.71,2,1
L,4,Panama,3,0,0,3,0,4,-4,0,3,0,0,-3,1505.33,2,1
