match_id,home_team,away_team,score,home_goals,away_goals,prob_score_percent,modelo_probabilistico,ranking_score
89,Canada,Morocco,0-1,0,1,13.265,Poisson + Dixon-Coles,1
89,Canada,Morocco,0-2,0,2,12.435,Poisson + Dixon-Coles,2
89,Canada,Morocco,1-1,1,1,11.781,Poisson + Dixon-Coles,3
89,Canada,Morocco,1-2,1,2,9.594,Poisson + Dixon-Coles,4
89,Canada,Morocco,0-0,0,0,8.909,Poisson + Dixon-Coles,5
89,Canada,Morocco,0-3,0,3,7.292,Poisson + Dixon-Coles,6
89,Canada,Morocco,1-3,1,3,5.626,Poisson + Dixon-Coles,7
89,Canada,Morocco,1-0,1,0,5.328,Poisson + Dixon-Coles,8
89,Canada,Morocco,2-1,2,1,4.208,Poisson + Dixon-Coles,9
89,Canada,Morocco,2-2,2,2,3.701,Poisson + Dixon-Coles,10
90,Paraguay,France,0-2,0,2,13.263,Poisson + Dixon-Coles,1
90,Paraguay,France,0-1,0,1,10.638,Poisson + Dixon-Coles,2
90,Paraguay,France,0-3,0,3,10.389,Poisson + Dixon-Coles,3
90,Paraguay,France,1-2,1,2,9.54,Poisson + Dixon-Coles,4
90,Paraguay,France,1-1,1,1,8.768,Poisson + Dixon-Coles,5
90,Paraguay,France,1-3,1,3,7.473,Poisson + Dixon-Coles,6
90,Paraguay,France,0-4,0,4,6.104,Poisson + Dixon-Coles,7
90,Paraguay,France,0-0,0,0,5.453,Poisson + Dixon-Coles,8
90,Paraguay,France,1-4,1,4,4.39,Poisson + Dixon-Coles,9
90,Paraguay,France,2-2,2,2,3.431,Poisson + Dixon-Coles,10
91,Brazil,Norway,1-1,1,1,9.453,Poisson + Dixon-Coles,1
91,Brazil,Norway,2-1,2,1,9.081,Poisson + Dixon-Coles,2
91,Brazil,Norway,2-2,2,2,7.089,Poisson + Dixon-Coles,3
91,Brazil,Norway,1-2,1,2,6.833,Poisson + Dixon-Coles,4
91,Brazil,Norway,3-1,3,1,6.281,Poisson + Dixon-Coles,5
91,Brazil,Norway,2-0,2,0,5.817,Poisson + Dixon-Coles,6
91,Brazil,Norway,1-0,1,0,4.906,Poisson + Dixon-Coles,7
91,Brazil,Norway,3-2,3,2,4.903,Poisson + Dixon-Coles,8
91,Brazil,Norway,3-0,3,0,4.023,Poisson + Dixon-Coles,9
91,Brazil,Norway,2-3,2,3,3.689,Poisson + Dixon-Coles,10
92,Mexico,England,1-1,1,1,11.424,Poisson + Dixon-Coles,1
